REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;balcon_moy;eau_moy;bain_moy;nb_log
2.0;972;97201;pr;a;a;l;1;0;38.0;450.0;0.0;1.0;0.0;1
2.0;972;97201;pr;a;a;l;1;VI;38.0;450.0;0.0;1.0;0.0;1
2.0;972;97201;pr;a;a;l;3;0;61.0;575.0;1.0;2.0;0.0;1
2.0;972;97201;pr;a;a;l;3;VI;61.0;575.0;0.0;2.0;0.0;1
2.0;972;97202;pr;a;a;l;1;0;39.5;700.0;0.0;0.0;0.5;2
2.0;972;97203;pa;a;m;l;6;0;83.0;800.0;1.0;0.0;0.0;1
2.0;972;97203;pa;a;m;l;9;0;131.0;900.0;1.0;0.0;0.0;1
2.0;972;97203;pr;a;a;l;3;VI;61.0;600.0;0.0;1.0;0.0;1
2.0;972;97204;pr;a;a;l;3;E;91.0;850.0;0.0;2.0;0.0;1
2.0;972;97205;pa;a;a;l;2;0;47.0;650.0;1.0;0.0;0.0;1
2.0;972;97205;pr;a;a;l;5;0;110.0;1200.0;0.0;0.0;0.0;1
2.0;972;97205;pr;a;m;l;4;VI;105.5;1147.5;0.0;0.5;0.0;2
2.0;972;97205;pr;a;m;l;5;0;145.0;1850.0;0.0;1.0;3.0;1
2.0;972;97206;pr;a;a;l;1;0;30.0;500.0;0.0;0.0;0.0;1
2.0;972;97206;pr;a;a;l;2;0;41.0;675.0;0.0;0.0;0.5;2
2.0;972;97206;pr;a;a;l;2;G;37.5;660.0;0.5;1.0;0.0;2
2.0;972;97206;pr;a;a;l;3;VI;58.0;890.0;0.0;2.0;2.0;1
2.0;972;97206;pr;a;m;l;2;G;41.0;790.0;0.0;1.0;0.0;1
2.0;972;97206;pr;a;m;l;3;0;95.0;995.0;0.0;2.0;0.0;1
2.0;972;97206;pr;a;m;l;3;G;90.0;2000.0;0.0;2.0;0.0;1
2.0;972;97206;pr;a;m;l;4;0;130.0;2400.0;0.0;0.67;1.33;3
2.0;972;97206;pr;a;m;l;4;G;93.0;1250.0;0.0;1.0;1.0;1
2.0;972;97206;pr;a;m;l;4;NS;109.0;1898.0;0.0;2.0;0.0;1
2.0;972;97207;pr;a;a;l;2;0;44.5;640.0;0.0;0.0;1.0;2
2.0;972;97207;pr;a;a;l;2;VI;45.0;662.5;0.5;1.0;0.0;2
2.0;972;97207;pr;a;a;l;3;0;67.0;760.0;0.0;0.75;0.0;4
2.0;972;97207;pr;a;a;l;3;D;67.0;1000.0;0.0;1.0;0.0;1
2.0;972;97207;pr;a;a;l;3;G;61.0;916.0;0.0;1.0;0.0;1
2.0;972;97207;pr;a;a;l;3;NS;66.5;757.0;0.0;1.0;0.0;2
2.0;972;97207;pr;a;a;l;4;0;89.0;890.0;0.0;0.0;2.67;3
