REG;DEP;INSEE_COM;type_annonceur;categorie_annonceur;typedebien;typedetransaction;nb_pieces;dpeL;surface_median;prix_bien_median;prix_m2_vente_median;loyer_m2_median_n7;taux_rendement_moy;balcon_moy;eau_moy;bain_moy;nb_log_en_vente
75.0;19;19001;pr;a;m;v;11;D;145.0;169500.0;1168.97;;;0.0;0.0;1.0;1
75.0;19;19001;pr;a;m;v;3;F;86.0;113400.0;1318.6;;;0.0;0.0;1.0;1
75.0;19;19001;pr;a;m;v;4;VI;90.0;31800.0;353.33;;;0.0;0.0;0.0;1
75.0;19;19001;pr;a;m;v;7;E;130.0;230000.0;1769.23;;;0.0;2.0;2.0;1
75.0;19;19002;pr;m;m;v;9;G;300.0;93000.0;310.0;;;0.0;0.0;0.0;1
75.0;19;19003;pr;a;m;v;3;0;161.0;110000.0;683.23;;;0.0;0.0;1.0;1
75.0;19;19003;pr;a;m;v;5;0;120.0;245000.0;2041.67;;;0.0;1.0;0.0;1
75.0;19;19004;pr;a;m;v;3;F;62.5;91625.0;1386.66;;;0.0;0.5;0.0;2
75.0;19;19004;pr;a;m;v;4;0;85.0;139100.0;1636.47;;;0.0;1.0;0.0;1
75.0;19;19004;pr;a;m;v;4;E;93.0;82500.0;887.1;;;1.0;0.0;1.0;1
75.0;19;19004;pr;a;m;v;4;F;140.0;144450.0;1031.79;;;0.0;1.0;1.0;1
75.0;19;19004;pr;a;m;v;4;NS;70.0;44000.0;628.57;;;0.0;0.0;1.0;1
75.0;19;19004;pr;a;m;v;5;VI;108.0;138500.0;1282.41;;;0.0;0.0;1.0;1
75.0;19;19004;pr;a;m;v;6;0;57.0;44000.0;771.93;;;0.0;0.0;1.0;1
75.0;19;19004;pr;a;m;v;6;D;142.0;188000.0;1323.94;;;0.0;0.0;2.0;1
75.0;19;19004;pr;a;m;v;6;G;136.0;137900.0;1013.97;;;0.0;0.0;2.0;1
75.0;19;19004;pr;a;m;v;6;NS;138.0;159000.0;1152.17;;;0.0;1.0;0.0;1
75.0;19;19004;pr;a;m;v;7;E;101.0;76000.0;752.48;;;0.0;0.0;1.0;1
75.0;19;19004;pr;a;m;v;7;VI;324.0;451500.0;1393.52;;;0.0;0.0;3.0;1
75.0;19;19004;pr;a;m;v;8;D;110.0;120000.0;1090.91;;;0.0;0.0;0.0;1
75.0;19;19004;pr;m;m;v;4;E;96.0;99000.0;1031.25;;;0.0;0.0;0.0;1
75.0;19;19004;pr;m;m;v;7;E;200.0;131650.0;658.25;;;0.0;0.0;1.0;1
75.0;19;19005;pr;a;m;v;13;C;410.0;490000.0;1195.12;;;0.0;0.0;4.0;1
75.0;19;19005;pr;a;m;v;3;G;60.0;127000.0;2116.67;7.04;0.04;0.0;0.0;1.0;1
75.0;19;19005;pr;a;m;v;4;0;135.0;131000.0;1077.28;;;0.0;0.0;0.5;2
75.0;19;19005;pr;a;m;v;4;VI;160.0;80000.0;500.0;;;0.0;0.0;0.0;1
75.0;19;19005;pr;a;m;v;5;D;134.0;220000.0;1527.78;7.57;0.06;0.0;1.0;0.0;3
75.0;19;19005;pr;a;m;v;5;E;80.0;158000.0;1975.0;7.57;0.046;1.0;1.0;1.0;1
75.0;19;19005;pr;a;m;v;7;C;163.0;240300.0;1535.36;;;0.0;0.5;0.5;2
75.0;19;19005;pr;a;m;v;7;D;185.0;163000.0;881.08;;;0.0;0.0;1.0;1
75.0;19;19005;pr;a;m;v;8;D;210.0;250000.0;1190.48;;;0.0;0.0;3.0;1
75.0;19;19005;pr;cm;mn;v;4;0;90.0;164200.0;1824.44;;;0.0;1.0;0.0;1
75.0;19;19005;pr;cm;mn;v;5;0;82.5;130950.0;1587.76;7.57;0.058;0.0;1.0;0.0;2
75.0;19;19005;pr;m;m;v;5;D;152.0;220000.0;1451.39;7.57;0.062;0.0;0.0;0.0;2
75.0;19;19007;pr;a;m;v;4;0;108.0;141000.0;1305.56;;;0.0;0.0;1.0;1
75.0;19;19007;pr;a;m;v;4;VI;155.0;214000.0;1380.65;;;0.0;0.0;0.0;1
75.0;19;19007;pr;a;m;v;5;NS;115.0;190800.0;1659.13;;;0.0;0.0;0.0;1
75.0;19;19007;pr;a;m;v;6;VI;130.0;159000.0;1223.08;;;0.0;0.0;0.0;1
75.0;19;19007;pr;a;m;v;7;0;172.5;252497.5;1461.98;;;0.5;0.0;2.0;2
75.0;19;19010;pr;a;a;v;3;0;64.0;113400.0;1771.88;8.28;0.056;0.0;0.0;1.0;1
75.0;19;19010;pr;a;m;v;10;F;178.0;75950.0;426.69;;;0.0;0.0;1.0;1
75.0;19;19010;pr;a;m;v;11;NS;250.0;367500.0;1470.0;;;0.0;1.0;5.0;1
75.0;19;19010;pr;a;m;v;13;C;380.0;447200.0;1176.84;;;0.0;0.0;0.0;1
75.0;19;19010;pr;a;m;v;2;VI;300.0;46000.0;153.33;12.0;0.939;0.0;0.0;0.0;1
75.0;19;19010;pr;a;m;v;3;D;73.0;117700.0;1612.33;;;0.0;0.0;0.0;1
75.0;19;19010;pr;a;m;v;3;F;65.0;123000.0;1892.31;;;0.0;0.0;1.0;1
75.0;19;19010;pr;a;m;v;3;NS;64.0;123050.0;1922.66;;;0.0;0.0;0.0;1
75.0;19;19010;pr;a;m;v;4;E;80.0;65000.0;812.5;;;0.0;0.0;0.33;3
75.0;19;19010;pr;a;m;v;4;NS;90.0;107590.0;1324.9;;;0.25;0.5;0.25;4
75.0;19;19010;pr;a;m;v;4;VI;138.0;159000.0;1152.17;;;0.0;0.0;0.0;1
75.0;19;19010;pr;a;m;v;5;0;131.0;222600.0;1699.24;;;0.0;2.0;2.0;1
75.0;19;19010;pr;a;m;v;5;D;150.0;38900.0;259.33;;;0.0;0.0;0.0;1
75.0;19;19010;pr;a;m;v;5;E;92.0;85600.0;1070.0;;;0.0;0.0;0.33;3
75.0;19;19010;pr;a;m;v;5;F;125.0;153700.0;1097.86;;;0.0;0.67;0.0;3
75.0;19;19010;pr;a;m;v;5;VI;117.5;144800.0;1251.49;;;0.0;0.5;1.5;2
